,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
84,0,1,37.3,17.8,191.0,3350.0,0,2008
85,0,1,41.3,20.3,194.0,3550.0,1,2008
86,0,1,36.3,19.5,190.0,3800.0,1,2008
87,0,1,36.9,18.6,189.0,3500.0,0,2008
88,0,1,38.3,19.2,189.0,3950.0,1,2008
89,0,1,38.9,18.8,190.0,3600.0,0,2008
90,0,1,35.7,18.0,202.0,3550.0,0,2008
91,0,1,41.1,18.1,205.0,4300.0,1,2008
92,0,1,34.0,17.1,185.0,3400.0,0,2008
93,0,1,39.6,18.1,186.0,4450.0,1,2008
94,0,1,36.2,17.3,187.0,3300.0,0,2008
95,0,1,40.8,18.9,208.0,4300.0,1,2008
96,0,1,38.1,18.6,190.0,3700.0,0,2008
97,0,1,40.3,18.5,196.0,4350.0,1,2008
98,0,1,33.1,16.1,178.0,2900.0,0,2008
99,0,1,43.2,18.5,192.0,4100.0,1,2008
100,0,0,35.0,17.9,192.0,3725.0,0,2009
101,0,0,41.0,20.0,203.0,4725.0,1,2009
102,0,0,37.7,16.0,183.0,3075.0,0,2009
103,0,0,37.8,20.0,190.0,4250.0,1,2009
104,0,0,37.9,18.6,193.0,2925.0,0,2009
105,0,0,39.7,18.9,184.0,3550.0,1,2009
106,0,0,38.6,17.2,199.0,3750.0,0,2009
107,0,0,38.2,20.0,190.0,3900.0,1,2009
108,0,0,38.1,17.0,181.0,3175.0,0,2009
109,0,0,43.2,19.0,197.0,4775.0,1,2009
110,0,0,38.1,16.5,198.0,3825.0,0,2009
111,0,0,45.6,20.3,191.0,4600.0,1,2009
112,0,0,39.7,17.7,193.0,3200.0,0,2009
113,0,0,42.2,19.5,197.0,4275.0,1,2009
114,0,0,39.6,20.7,191.0,3900.0,0,2009
115,0,0,42.7,18.3,196.0,4075.0,1,2009
116,0,2,38.6,17.0,188.0,2900.0,0,2009
117,0,2,37.3,20.5,199.0,3775.0,1,2009
118,0,2,35.7,17.0,189.0,3350.0,0,2009
119,0,2,41.1,18.6,189.0,3325.0,1,2009
120,0,2,36.2,17.2,187.0,3150.0,0,2009
121,0,2,37.7,19.8,198.0,3500.0,1,2009
122,0,2,40.2,17.0,176.0,3450.0,0,2009
123,0,2,41.4,18.5,202.0,3875.0,1,2009
124,0,2,35.2,15.9,186.0,3050.0,0,2009
125,0,2,40.6,19.0,199.0,4000.0,1,2009
126,0,2,38.8,17.6,191.0,3275.0,0,2009
127,0,2,41.5,18.3,195.0,4300.0,1,2009
128,0,2,39.0,17.1,191.0,3050.0,0,2009
129,0,2,44.1,18.0,210.0,4000.0,1,2009
130,0,2,38.5,17.9,190.0,3325.0,0,2009
131,0,2,43.1,19.2,197.0,3500.0,1,2009
132,0,1,36.8,18.5,193.0,3500.0,0,2009
133,0,1,37.5,18.5,199.0,4475.0,1,2009
134,0,1,38.1,17.6,187.0,3425.0,0,2009
135,0,1,41.1,17.5,190.0,3900.0,1,2009
136,0,1,35.6,17.5,191.0,3175.0,0,2009
137,0,1,40.2,20.1,200.0,3975.0,1,2009
138,0,1,37.0,16.5,185.0,3400.0,0,2009
139,0,1,39.7,17.9,193.0,4250.0,1,2009
140,0,1,40.2,17.1,193.0,3400.0,0,2009
141,0,1,40.6,17.2,187.0,3475.0,1,2009
142,0,1,32.1,15.5,188.0,3050.0,0,2009
143,0,1,40.7,17.0,190.0,3725.0,1,2009
144,0,1,37.3,16.8,192.0,3000.0,0,2009
145,0,1,39.0,18.7,185.0,3650.0,1,2009
146,0,1,39.2,18.6,190.0,4250.0,1,2009
147,0,1,36.6,18.4,184.0,3475.0,0,2009
148,0,1,36.0,17.8,195.0,3450.0,0,2009
149,0,1,37.8,18.1,193.0,3750.0,1,2009
150,0,1,36.0,17.1,187.0,3700.0,0,2009
151,0,1,41.5,18.5,201.0,4000.0,1,2009
152,2,0,46.1,13.2,211.0,4500.0,0,2007
153,2,0,50.0,16.3,230.0,5700.0,1,2007
154,2,0,48.7,14.1,210.0,4450.0,0,2007
155,2,0,50.0,15.2,218.0,5700.0,1,2007
156,2,0,47.6,14.5,215.0,5400.0,1,2007
157,2,0,46.5,13.5,210.0,4550.0,0,2007
158,2,0,45.4,14.6,211.0,4800.0,0,2007
159,2,0,46.7,15.3,219.0,5200.0,1,2007
160,2,0,43.3,13.4,209.0,4400.0,0,2007
161,2,0,46.8,15.4,215.0,5150.0,1,2007
162,2,0,40.9,13.7,214.0,4650.0,0,2007
163,2,0,49.0,16.1,216.0,5550.0,1,2007
164,2,0,45.5,13.7,214.0,4650.0,0,2007
165,2,0,48.4,14.6,213.0,5850.0,1,2007
166,2,0,45.8,14.6,210.0,4200.0,0,2007
167,2,0,49.3,15.7,217.0,5850.0,1,2007
168,2,0,42.0,13.5,210.0,4150.0,0,2007
169,2,0,49.2,15.2,221.0,6300.0,1,2007
170,2,0,46.2,14.5,209.0,4800.0,0,2007
171,2,0,48.7,15.1,222.0,5350.0,1,2007
172,2,0,50.2,14.3,218.0,5700.0,1,2007
173,2,0,45.1,14.5,215.0,5000.0,0,2007
174,2,0,46.5,14.5,213.0,4400.0,0,2007
175,2,0,46.3,15.8,215.0,5050.0,1,2007
176,2,0,42.9,13.1,215.0,5000.0,0,2007
177,2,0,46.1,15.1,215.0,5100.0,1,2007
179,2,0,47.8,15.0,215.0,5650.0,1,2007
180,2,0,48.2,14.3,210.0,4600.0,0,2007
181,2,0,50.0,15.3,220.0,5550.0,1,2007
182,2,0,47.3,15.3,222.0,5250.0,1,2007
183,2,0,42.8,14.2,209.0,4700.0,0,2007
184,2,0,45.1,14.5,207.0,5050.0,0,2007
185,2,0,59.6,17.0,230.0,6050.0,1,2007
186,2,0,49.1,14.8,220.0,5150.0,0,2008
187,2,0,48.4,16.3,220.0,5400.0,1,2008
188,2,0,42.6,13.7,213.0,4950.0,0,2008
189,2,0,44.4,17.3,219.0,5250.0,1,2008
190,2,0,44.0,13.6,208.0,4350.0,0,2008
191,2,0,48.7,15.7,208.0,5350.0,1,2008
192,2,0,42.7,13.7,208.0,3950.0,0,2008
193,2,0,49.6,16.0,225.0,5700.0,1,2008
194,2,0,45.3,13.7,210.0,4300.0,0,2008
195,2,0,49.6,15.0,216.0,4750.0,1,2008
196,2,0,50.5,15.9,222.0,5550.0,1,2008
197,2,0,43.6,13.9,217.0,4900.0,0,2008
198,2,0,45.5,13.9,210.0,4200.0,0,2008
199,2,0,50.5,15.9,225.0,5400.0,1,2008
200,2,0,44.9,13.3,213.0,5100.0,0,2008
201,2,0,45.2,15.8,215.0,5300.0,1,2008
202,2,0,46.6,14.2,210.0,4850.0,0,2008
203,2,0,48.5,14.1,220.0,5300.0,1,2008
204,2,0,45.1,14.4,210.0,4400.0,0,2008
205,2,0,50.1,15.0,225.0,5000.0,1,2008
206,2,0,46.5,14.4,217.0,4900.0,0,2008
207,2,0,45.0,15.4,220.0,5050.0,1,2008
208,2,0,43.8,13.9,208.0,4300.0,0,2008
209,2,0,45.5,15.0,220.0,5000.0,1,2008
210,2,0,43.2,14.5,208.0,4450.0,0,2008
211,2,0,50.4,15.3,224.0,5550.0,1,2008
212,2,0,45.3,13.8,208.0,4200.0,0,2008
213,2,0,46.2,14.9,221.0,5300.0,1,2008
214,2,0,45.7,13.9,214.0,4400.0,0,2008
215,2,0,54.3,15.7,231.0,5650.0,1,2008
216,2,0,45.8,14.2,219.0,4700.0,0,2008
217,2,0,49.8,16.8,230.0,5700.0,1,2008
219,2,0,49.5,16.2,229.0,5800.0,1,2008
220,2,0,43.5,14.2,220.0,4700.0,0,2008
221,2,0,50.7,15.0,223.0,5550.0,1,2008
222,2,0,47.7,15.0,216.0,4750.0,0,2008
223,2,0,46.4,15.6,221.0,5000.0,1,2008
224,2,0,48.2,15.6,221.0,5100.0,1,2008
225,2,0,46.5,14.8,217.0,5200.0,0,2008
226,2,0,46.4,15.0,216.0,4700.0,0,2008
227,2,0,48.6,16.0,230.0,5800.0,1,2008
228,2,0,47.5,14.2,209.0,4600.0,0,2008
229,2,0,51.1,16.3,220.0,6000.0,1,2008
230,2,0,45.2,13.8,215.0,4750.0,0,2008
231,2,0,45.2,16.4,223.0,5950.0,1,2008
232,2,0,49.1,14.5,212.0,4625.0,0,2009
233,2,0,52.5,15.6,221.0,5450.0,1,2009
234,2,0,47.4,14.6,212.0,4725.0,0,2009
235,2,0,50.0,15.9,224.0,5350.0,1,2009
236,2,0,44.9,13.8,212.0,4750.0,0,2009
237,2,0,50.8,17.3,228.0,5600.0,1,2009
238,2,0,43.4,14.4,218.0,4600.0,0,2009
239,2,0,51.3,14.2,218.0,5300.0,1,2009
240,2,0,47.5,14.0,212.0,4875.0,0,2009
241,2,0,52.1,17.0,230.0,5550.0,1,2009
242,2,0,47.5,15.0,218.0,4950.0,0,2009
243,2,0,52.2,17.1,228.0,5400.0,1,2009
244,2,0,45.5,14.5,212.0,4750.0,0,2009
245,2,0,49.5,16.1,224.0,5650.0,1,2009
246,2,0,44.5,14.7,214.0,4850.0,0,2009
247,2,0,50.8,15.7,226.0,5200.0,1,2009
248,2,0,49.4,15.8,216.0,4925.0,1,2009
249,2,0,46.9,14.6,222.0,4875.0,0,2009
250,2,0,48.4,14.4,203.0,4625.0,0,2009
251,2,0,51.1,16.5,225.0,5250.0,1,2009
252,2,0,48.5,15.0,219.0,4850.0,0,2009
253,2,0,55.9,17.0,228.0,5600.0,1,2009
254,2,0,47.2,15.5,215.0,4975.0,0,2009
255,2,0,49.1,15.0,228.0,5500.0,1,2009
257,2,0,46.8,16.1,215.0,5500.0,1,2009
258,2,0,41.7,14.7,210.0,4700.0,0,2009
259,2,0,53.4,15.8,219.0,5500.0,1,2009
260,2,0,43.3,14.0,208.0,4575.0,0,2009
261,2,0,48.1,15.1,209.0,5500.0,1,2009
262,2,0,50.5,15.2,216.0,5000.0,0,2009
263,2,0,49.8,15.9,229.0,5950.0,1,2009
264,2,0,43.5,15.2,213.0,4650.0,0,2009
265,2,0,51.5,16.3,230.0,5500.0,1,2009
266,2,0,46.2,14.1,217.0,4375.0,0,2009
267,2,0,55.1,16.0,230.0,5850.0,1,2009
269,2,0,48.8,16.2,222.0,6000.0,1,2009
270,2,0,47.2,13.7,214.0,4925.0,0,2009
272,2,0,46.8,14.3,215.0,4850.0,0,2009
273,2,0,50.4,15.7,222.0,5750.0,1,2009
274,2,0,45.2,14.8,212.0,5200.0,0,2009
275,2,0,49.9,16.1,213.0,5400.0,1,2009
276,1,1,46.5,17.9,192.0,3500.0,0,2007
277,1,1,50.0,19.5,196.0,3900.0,1,2007
278,1,1,51.3,19.2,193.0,3650.0,1,2007
279,1,1,45.4,18.7,188.0,3525.0,0,2007
280,1,1,52.7,19.8,197.0,3725.0,1,2007
281,1,1,45.2,17.8,198.0,3950.0,0,2007
282,1,1,46.1,18.2,178.0,3250.0,0,2007
283,1,1,51.3,18.2,197.0,3750.0,1,2007
284,1,1,46.0,18.9,195.0,4150.0,0,2007
285,1,1,51.3,19.9,198.0,3700.0,1,2007
286,1,1,46.6,17.8,193.0,3800.0,0,2007
287,1,1,51.7,20.3,194.0,3775.0,1,2007
288,1,1,47.0,17.3,185.0,3700.0,0,2007
289,1,1,52.0,18.1,201.0,4050.0,1,2007
290,1,1,45.9,17.1,190.0,3575.0,0,2007
291,1,1,50.5,19.6,201.0,4050.0,1,2007
292,1,1,50.3,20.0,197.0,3300.0,1,2007
293,1,1,58.0,17.8,181.0,3700.0,0,2007
294,1,1,46.4,18.6,190.0,3450.0,0,2007
295,1,1,49.2,18.2,195.0,4400.0,1,2007
296,1,1,42.4,17.3,181.0,3600.0,0,2007
297,1,1,48.5,17.5,191.0,3400.0,1,2007
298,1,1,43.2,16.6,187.0,2900.0,0,2007
299,1,1,50.6,19.4,193.0,3800.0,1,2007
300,1,1,46.7,17.9,195.0,3300.0,0,2007
301,1,1,52.0,19.0,197.0,4150.0,1,2007
302,1,1,50.5,18.4,200.0,3400.0,0,2008
303,1,1,49.5,19.0,200.0,3800.0,1,2008
304,1,1,46.4,17.8,191.0,3700.0,0,2008
305,1,1,52.8,20.0,205.0,4550.0,1,2008
306,1,1,40.9,16.6,187.0,3200.0,0,2008
307,1,1,54.2,20.8,201.0,4300.0,1,2008
308,1,1,42.5,16.7,187.0,3350.0,0,2008
309,1,1,51.0,18.8,203.0,4100.0,1,2008
310,1,1,49.7,18.6,195.0,3600.0,1,2008
311,1,1,47.5,16.8,199.0,3900.0,0,2008
312,1,1,47.6,18.3,195.0,3850.0,0,2008
313,1,1,52.0,20.7,210.0,4800.0,1,2008
314,1,1,46.9,16.6,192.0,2700.0,0,2008
315,1,1,53.5,19.9,205.0,4500.0,1,2008
316,1,1,49.0,19.5,210.0,3950.0,1,2008
317,1,1,46.2,17.5,187.0,3650.0,0,2008
318,1,1,50.9,19.1,196.0,3550.0,1,2008
319,1,1,45.5,17.0,196.0,3500.0,0,2008
320,1,1,50.9,17.9,196.0,3675.0,0,2009
321,1,1,50.8,18.5,201.0,4450.0,1,2009
322,1,1,50.1,17.9,190.0,3400.0,0,2009
323,1,1,49.0,19.6,212.0,4300.0,1,2009
324,1,1,51.5,18.7,187.0,3250.0,1,2009
325,1,1,49.8,17.3,198.0,3675.0,0,2009
326,1,1,48.1,16.4,199.0,3325.0,0,2009
327,1,1,51.4,19.0,201.0,3950.0,1,2009
328,1,1,45.7,17.3,193.0,3600.0,0,2009
329,1,1,50.7,19.7,203.0,4050.0,1,2009
330,1,1,42.5,17.3,187.0,3350.0,0,2009
331,1,1,52.2,18.8,197.0,3450.0,1,2009
332,1,1,45.2,16.6,191.0,3250.0,0,2009
333,1,1,49.3,19.9,203.0,4050.0,1,2009
334,1,1,50.2,18.8,202.0,3800.0,1,2009
335,1,1,45.6,19.4,194.0,3525.0,0,2009
336,1,1,51.9,19.5,206.0,3950.0,1,2009
337,1,1,46.8,16.5,189.0,3650.0,0,2009
338,1,1,45.7,17.0,195.0,3650.0,0,2009
339,1,1,55.8,19.8,207.0,4000.0,1,2009
340,1,1,43.5,18.1,202.0,3400.0,0,2009
341,1,1,49.6,18.2,193.0,3775.0,1,2009
342,1,1,50.8,19.0,210.0,4100.0,1,2009
343,1,1,50.2,18.7,198.0,3775.0,0,2009
