>> loading dataset dair-ai/emotion (split)  [SMOKE=False]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
>> labels: ['sadness', 'joy', 'love', 'anger', 'fear', 'surprise']
[transformers] DistilBertForSequenceClassification LOAD REPORT from: distilbert-base-uncased
Key                     | Status     | 
------------------------+------------+-
vocab_layer_norm.bias   | UNEXPECTED | 
vocab_transform.bias    | UNEXPECTED | 
vocab_transform.weight  | UNEXPECTED | 
vocab_layer_norm.weight | UNEXPECTED | 
vocab_projector.bias    | UNEXPECTED | 
classifier.weight       | MISSING    | 
classifier.bias         | MISSING    | 
pre_classifier.bias     | MISSING    | 
pre_classifier.weight   | MISSING    | 
Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
- MISSING:	those params were newly initialized because missing from the checkpoint. Consider training on your downstream task.
>> device=mps  epochs=3  train=16000
{'loss': '1.327', 'grad_norm': '5.283', 'learning_rate': '1.934e-05', 'epoch': '0.1'}
{'loss': '0.09162', 'grad_norm': '0.2507', 'learning_rate': '3.34e-06', 'epoch': '2.5'}
{'loss': '0.09091', 'grad_norm': '6.892', 'learning_rate': '3.007e-06', 'epoch': '2.55'}
{'loss': '0.07146', 'grad_norm': '0.03792', 'learning_rate': '2.673e-06', 'epoch': '2.6'}
{'loss': '0.07999', 'grad_norm': '8.802', 'learning_rate': '2.34e-06', 'epoch': '2.65'}
{'loss': '0.1339', 'grad_norm': '7.472', 'learning_rate': '2.007e-06', 'epoch': '2.7'}
{'loss': '0.07065', 'grad_norm': '3.417', 'learning_rate': '1.673e-06', 'epoch': '2.75'}
{'loss': '0.07152', 'grad_norm': '4.91', 'learning_rate': '1.34e-06', 'epoch': '2.8'}
{'loss': '0.124', 'grad_norm': '4.503', 'learning_rate': '1.007e-06', 'epoch': '2.85'}
{'loss': '0.1249', 'grad_norm': '9.946', 'learning_rate': '6.733e-07', 'epoch': '2.9'}
{'loss': '0.1012', 'grad_norm': '7.187', 'learning_rate': '3.4e-07', 'epoch': '2.95'}
{'loss': '0.08326', 'grad_norm': '2.385', 'learning_rate': '6.667e-09', 'epoch': '3'}
{'eval_loss': '0.1552', 'eval_accuracy': '0.939', 'eval_f1': '0.9391', 'eval_runtime': '12.55', 'eval_samples_per_second': '159.3', 'eval_steps_per_second': '5.019', 'epoch': '3'}
{'train_runtime': '1270', 'train_samples_per_second': '37.81', 'train_steps_per_second': '2.363', 'train_loss': '0.239', 'epoch': '3'}
>> TEST metrics: {'eval_loss': 0.18711896240711212, 'eval_accuracy': 0.9295, 'eval_f1': 0.9290011212894149, 'eval_runtime': 13.4132, 'eval_samples_per_second': 149.107, 'eval_steps_per_second': 4.697, 'epoch': 3.0}
>> saved model to ./distilbert-emotion
